Date,MSFT,AAPL
2014-09-01,66.0,61.0
2014-10-01,66.0,60.0
2014-11-01,66.0,61.0
2014-12-01,66.0,61.0
2015-01-01,66.0,61.0
2015-02-01,67.0,61.0
2015-03-01,66.0,63.0
2015-04-01,66.0,63.0
2015-05-01,66.0,63.0
2015-06-01,66.0,63.0
2015-07-01,66.0,63.0
2015-08-01,66.0,64.0
2015-09-01,72.0,64.0
2015-10-01,74.0,63.0
2015-11-01,73.0,62.0
2015-12-01,73.0,62.0
2016-01-01,72.95,62.36
2016-02-01,72.95,62.36
2016-03-01,72.05,62.36
2016-04-01,71.03,62.33
2016-05-01,71.03,62.33
2016-06-01,71.03,62.33
2016-07-01,70.28,62.33
2016-08-01,70.28,62.33
2016-09-01,71.18,62.33
2016-10-01,71.18,62.33
2016-11-01,71.38,67.36
2016-12-01,71.38,67.36
2017-01-01,71.49,67.28
2017-02-01,71.49,67.28
2017-03-01,71.49,67.28
2017-04-01,71.49,67.28
2017-05-01,71.74,67.28
2017-06-01,71.74,67.19
2017-07-01,71.74,67.28
2017-08-01,71.17,67.19
2017-09-01,71.17,67.19
2017-10-01,71.21,67.4
2017-11-01,71.21,67.4
2017-12-01,74.16,67.4
2018-01-01,74.16,68.54
2018-02-01,74.16,68.54
2018-03-01,74.16,68.54
2018-04-01,74.16,68.54
2018-05-01,74.16,68.54
2018-06-01,74.16,68.54
2018-07-01,74.16,68.54
2018-08-01,74.16,69.33
2018-09-01,74.16,69.33
2018-10-01,73.92,69.33
2018-11-01,74.15,70.63
2018-12-01,74.15,70.63
2019-01-01,74.15,70.63
2019-02-01,74.15,70.63
2019-03-01,74.15,70.34
2019-04-01,74.15,70.34
2019-05-01,74.15,70.34
2019-06-01,74.15,70.4
2019-07-01,74.55,70.4
2019-08-01,74.55,70.28
2019-09-01,74.65,72.27
2019-10-01,74.65,72.27
2019-11-01,74.8,72.27
2019-12-01,15.35,23.6
2020-01-01,15.35,23.82
2020-02-01,15.35,23.82
2020-03-01,15.55,23.82
2020-04-01,15.55,23.82
2020-05-01,15.55,23.82
2020-06-01,15.55,23.82
2020-07-01,14.91,23.62
2020-08-01,14.91,23.62
2020-09-01,14.91,23.62
2020-10-01,14.94,23.65
2020-11-01,14.94,23.65
2020-12-01,14.94,23.65
2021-01-01,14.74,16.46
2021-02-01,14.74,16.58
2021-03-01,14.74,16.73
2021-04-01,14.74,16.73
2021-05-01,14.63,16.92
2021-06-01,14.63,16.92
2021-07-01,14.63,16.92
2021-08-01,14.63,16.92
2021-09-01,13.26,16.92
2021-10-01,13.26,16.92
2021-11-01,13.26,16.92
2021-12-01,13.26,16.92
2022-01-01,13.26,16.92
2022-02-01,13.26,16.27
2022-03-01,13.26,16.27
2022-04-01,13.26,16.27
2022-05-01,13.75,16.41
2022-06-01,13.75,16.41
2022-07-01,13.75,16.41
2022-08-01,15.24,16.68
